Time,Day_Id,CW_state,Max_capacity,Duration
"2020-10-09 09:04:14",6,1,0,3
"2020-10-09 09:04:17",6,3,0,121
"2020-10-09 09:06:18",6,2,0,2
"2020-10-09 09:06:20",6,1,0,3
"2020-10-09 09:06:23",6,3,0,210
"2020-10-09 09:09:53",6,2,0,194
"2020-10-09 09:13:07",6,1,0,2
"2020-10-09 09:13:09",6,3,0,113
"2020-10-09 09:15:02",6,2,0,95
"2020-10-09 09:16:37",6,1,0,3
"2020-10-09 09:16:40",6,3,0,180
"2020-10-09 09:19:40",6,2,0,6
"2020-10-09 09:19:46",6,1,0,3
"2020-10-09 09:19:49",6,3,0,249
"2020-10-09 09:23:58",6,2,1,3
"2020-10-09 09:24:01",6,3,1,192
"2020-10-09 09:27:13",6,2,0,2
"2020-10-09 09:27:15",6,1,0,33
"2020-10-09 09:27:48",6,2,0,913
"2020-10-09 09:43:01",6,1,0,38
"2020-10-09 09:43:39",6,3,0,1121
"2020-10-09 10:02:20",6,2,0,8
"2020-10-09 10:02:28",6,1,0,3
"2020-10-09 10:02:31",6,3,0,7372
"2020-10-09 12:05:23",6,2,0,36
"2020-10-09 12:05:59",6,1,0,454
"2020-10-09 12:13:33",6,2,0,48
"2020-10-09 12:14:21",6,4,0,127
"2020-10-09 12:16:28",6,1,0,16
"2020-10-09 12:16:44",6,2,0,4643
"2020-10-09 13:34:07",6,3,0,534
"2020-10-09 13:43:01",6,2,1,49
"2020-10-09 13:43:50",6,3,1,540
"2020-10-09 13:52:50",6,2,0,7648
"2020-10-10 08:00:49",7,2,0,17657
"2020-10-10 12:55:06",7,3,0,486
"2020-10-10 13:03:12",7,2,0,3773
"2020-10-10 14:06:05",7,3,0,510
"2020-10-10 14:14:35",7,2,0,6374
"2020-10-11 00:00:39",1,2,0,66036
"2020-10-11 18:21:15",1,3,0,1240
"2020-10-11 18:41:55",1,2,1,59
"2020-10-11 18:42:54",1,3,1,1119
"2020-10-11 19:01:33",1,2,0,71392
"2020-10-12 14:51:25",2,3,0,566
"2020-10-12 15:00:51",2,2,0,547
"2020-10-12 15:09:58",2,3,0,456
"2020-10-12 15:17:34",2,2,0,130
"2020-10-12 15:19:44",2,3,0,520
"2020-10-12 15:28:24",2,2,0,30753
"2020-10-13 08:00:02",3,2,0,28807
"2020-10-14 08:00:28",4,2,0,28780
"2020-10-15 08:00:28",5,2,0,25312
"2020-10-15 15:02:21",5,3,0,482
"2020-10-15 15:10:23",5,2,1,22
"2020-10-15 15:10:45",5,3,1,550
"2020-10-15 15:19:55",5,2,0,1938
"2020-10-15 15:52:13",5,3,0,601
"2020-10-16 08:00:06",6,2,0,13961
"2020-10-16 11:52:47",6,1,0,5
"2020-10-16 11:52:52",6,2,0,7135
"2020-09-18 06:44:44",6,3,0,713
"2020-09-18 06:56:37",6,2,0,10861
"2020-09-18 10:08:23",6,2,0,10108
"2020-09-18 12:56:51",6,3,0,564
"2020-09-18 13:06:15",6,2,0,7078
"2020-09-18 15:04:13",6,3,0,601
"2020-09-18 15:14:14",6,2,1,23
"2020-09-18 15:14:37",6,3,1,471
"2020-09-18 15:22:28",6,2,1,30
"2020-09-18 15:22:58",6,3,1,509
"2020-09-18 15:31:27",6,2,0,1759
"2020-09-19 08:00:03",7,2,0,25116
"2020-09-19 14:58:39",7,3,0,1041
"2020-09-19 15:16:00",7,2,0,2666
"2020-09-20 00:00:51",1,2,0,57704
"2020-09-20 16:02:35",1,3,0,280
"2020-09-20 16:07:15",1,1,0,428
"2020-09-20 16:14:23",1,2,0,5733
"2020-09-20 17:49:56",1,3,0,1039
"2020-09-20 18:07:15",1,2,1,41
"2020-09-20 18:07:56",1,3,1,1464
"2020-09-20 18:32:20",1,2,0,67669
"2020-09-21 13:38:29",2,2,0,188
"2020-09-21 13:41:37",2,1,0,59
"2020-09-21 13:42:36",2,2,0,753
"2020-09-21 13:55:09",2,3,0,541
"2020-09-21 14:04:10",2,2,0,7375
"2020-09-21 16:07:05",2,3,0,520
"2020-09-21 16:15:45",2,2,1,34
"2020-09-21 16:16:19",2,3,1,286
"2020-09-21 16:21:05",2,1,0,737
"2020-09-21 16:33:22",2,2,1,5
"2020-09-21 16:33:27",2,3,1,496
"2020-09-21 16:41:43",2,2,0,2635
"2020-09-21 17:25:38",2,3,0,915
"2020-09-21 17:40:53",2,2,0,22782
"2020-09-22 08:00:59",3,2,0,28776
"2020-09-23 08:00:08",4,2,0,26457
"2020-09-23 15:21:05",4,3,0,590
"2020-09-23 15:30:55",4,2,0,1753
"2020-09-24 08:00:52",5,2,0,266
"2020-09-24 08:05:18",5,1,0,5
"2020-09-24 08:05:23",5,2,0,17135
"2020-10-28 12:10:54",4,1,0,5
"2020-10-28 12:10:59",4,2,0,13605
"2020-10-28 15:57:44",4,3,0,194
"2020-10-29 08:00:16",5,2,0,16514
"2020-10-29 12:35:30",5,1,0,5
"2020-10-29 12:35:35",5,2,0,8006
"2020-10-29 14:49:01",5,3,0,2
"2020-10-29 14:49:03",5,4,0,37
"2020-10-29 14:49:40",5,1,0,38
"2020-10-29 14:50:18",5,2,0,582
"2020-10-29 15:00:00",5,3,0,656
"2020-10-29 15:10:56",5,2,0,873
"2020-10-29 15:25:29",5,3,0,664
"2020-10-29 15:36:33",5,2,0,167
"2020-10-29 15:39:20",5,3,0,832
"2020-10-29 15:53:12",5,2,0,425
"2020-10-30 08:00:37",6,2,0,4527
"2020-10-30 09:16:04",6,1,0,2
"2020-10-30 09:16:06",6,2,0,2001
"2020-10-30 09:49:27",6,4,0,17824
"2020-10-30 14:46:31",6,1,0,18
"2020-10-30 14:46:49",6,2,0,2300
"2020-10-30 15:25:09",6,3,0,739
"2020-10-30 15:37:28",6,2,0,490
"2020-10-30 15:45:38",6,3,0,757
"2020-10-30 15:58:15",6,2,0,122
"2020-10-31 08:00:32",7,2,0,16518
"2020-10-31 12:35:50",7,3,0,803
"2020-10-31 12:49:13",7,2,0,11474
"2020-11-01 00:00:58",1,2,0,47940
"2020-11-01 13:19:58",1,3,0,639
"2020-11-01 13:30:37",1,2,0,6200
"2020-11-01 15:13:57",1,3,0,622
"2020-11-01 15:24:19",1,2,0,6348
"2020-11-01 17:10:08",1,3,0,1047
"2020-11-01 17:27:35",1,2,0,48045
"2020-11-02 06:48:21",2,3,0,470
"2020-11-02 06:56:11",2,2,0,4582
"2020-11-02 08:12:33",2,1,0,4
"2020-11-02 08:12:37",2,2,0,106
"2020-11-02 08:14:23",2,1,0,7
"2020-11-02 08:14:30",2,2,0,475
"2020-11-02 08:22:25",2,1,0,10
"2020-11-02 08:22:35",2,2,0,3136
"2020-11-02 09:14:51",2,4,0,20475
"2020-11-02 14:56:06",2,1,0,10
"2020-11-02 14:56:16",2,4,0,109
"2020-11-02 14:58:05",2,1,0,25
"2020-11-02 14:58:30",2,2,0,32532
"2020-11-03 08:00:23",3,2,0,1200
"2020-11-03 08:20:23",3,1,0,11
"2020-11-03 08:20:34",3,2,0,2877
"2020-11-03 09:08:31",3,1,0,5
"2020-11-03 09:08:36",3,2,0,11
"2020-11-03 09:08:47",3,1,0,15
"2020-11-03 09:09:02",3,2,0,10
"2020-11-03 09:09:12",3,1,0,5
"2020-11-03 09:09:17",3,2,0,1551
"2020-11-03 09:35:08",3,4,0,23129
"2020-11-04 08:00:29",4,4,0,28780
"2020-11-05 08:00:59",5,1,0,5
"2020-11-05 08:01:04",5,4,0,6452
"2020-11-05 09:48:36",5,1,0,8
"2020-11-05 09:48:44",5,4,0,17289
"2020-11-05 14:36:53",5,1,0,12
"2020-11-05 14:37:05",5,4,0,375
"2020-11-05 14:43:20",5,1,0,40
"2020-11-05 14:44:00",5,2,0,1600
"2020-11-05 15:10:40",5,3,0,668
"2020-11-05 15:21:48",5,2,1,26
"2020-11-05 15:22:14",5,3,1,704
"2020-11-05 15:33:58",5,2,1,25
"2020-11-05 15:34:23",5,3,1,648
"2020-11-05 15:45:11",5,2,0,911
"2020-11-06 08:00:00",6,2,0,1067
"2020-11-06 08:17:47",6,1,0,5
"2020-11-06 08:17:52",6,2,0,2626
"2020-10-16 13:51:47",6,1,0,23
"2020-10-16 13:52:10",6,2,0,327
"2020-10-16 13:57:37",6,4,0,26
"2020-10-16 13:58:03",6,1,0,62
"2020-10-16 13:59:05",6,2,0,512
"2020-10-16 14:07:37",6,1,0,5
"2020-10-16 14:07:42",6,2,0,865
"2020-10-16 14:22:07",6,1,0,5
"2020-10-16 14:22:12",6,2,0,129
"2020-10-16 14:24:21",6,1,0,6
"2020-10-16 14:24:27",6,2,0,111
"2020-10-16 14:26:18",6,1,0,5
"2020-10-16 14:26:23",6,2,0,791
"2020-10-16 14:39:34",6,3,0,536
"2020-10-16 14:48:30",6,2,0,479
"2020-10-16 14:56:29",6,3,0,952
"2020-10-16 15:12:21",6,2,1,36
"2020-10-16 15:12:57",6,3,1,767
"2020-10-16 15:25:44",6,2,0,191
"2020-10-16 15:28:55",6,3,0,599
"2020-10-16 15:38:54",6,2,0,1032
"2020-10-16 15:56:06",6,3,0,417
"2020-10-17 08:00:37",7,2,0,5775
"2020-10-17 09:36:52",7,3,0,893
"2020-10-17 09:51:45",7,2,0,21231
"2020-10-17 15:45:36",7,3,0,502
"2020-10-17 15:53:58",7,2,0,365
"2020-10-18 00:00:34",1,2,0,60487
"2020-10-18 16:48:41",1,3,0,709
"2020-10-18 17:00:30",1,2,0,6648
"2020-10-18 18:51:18",1,3,0,788
